src_ip,packet_count,avg_packet_size,max_packet_size,protocol_count,anomaly,anomaly_score
104.18.0.181,1,54.0,54,1,1,0.19816865253289367
104.18.1.181,2,54.0,54,1,1,0.20397613758193534
104.18.32.47,1,66.0,66,1,1,0.2695940831705261
104.18.36.252,1,66.0,66,1,1,0.2695940831705261
104.18.39.21,15,79.0,139,1,1,0.12736787285208284
130.35.128.168,1,89.0,89,1,1,0.23092026485066708
135.225.242.64,1,93.0,93,1,1,0.22722883568251362
142.250.201.228,19,464.1578947368421,1292,1,1,0.009106801736651238
146.112.41.2,24,457.625,1466,1,1,0.009106801736651238
172.64.151.4,18,102.94444444444444,193,1,1,0.1013990631963878
172.64.155.209,32,162.4375,1096,1,1,0.027920201152864865
192.168.70.1,4,174.5,175,1,1,0.10463817608483217
192.168.70.21,5,115.8,119,1,1,0.18180010991666695
192.168.70.22,47,168.6595744680851,698,1,-1,-0.0010118668596279523
192.168.70.27,113,361.87610619469024,1466,2,-1,-0.15115924517818302
192.168.70.95,1,115.0,115,1,1,0.19783901556331784
20.42.73.31,2,60.0,66,1,1,0.26037679585348733
34.139.124.58,5,66.6,93,1,1,0.21569882868313822
34.8.7.18,1,66.0,66,1,1,0.2695940831705261
35.244.251.182,2,60.0,66,1,1,0.26037679585348733
52.41.118.30,4,66.0,78,1,1,0.23824619866305108
66.102.1.188,3,66.0,66,1,1,0.2525653348411833
94.206.5.97,2,66.0,78,1,1,0.26383723270906073
